,Sentence,Sentiment
1691,merge two free sheet clarify market situation,0
1692,arena partner oy development company electronic business,0
1694,study expect start,0
1695,net profit period million euro,0
1697,number magazine newspaper reader remain unchanged,0
1698,company net sale eur mn pre tax profit eur mn,0
1700,yvonne jones owner chameleon interior,0
1701,downloadable instruction sheet instructional video project idea award win everywhere punch tm window system find www fiskar com,0
1702,talentum disclose three interim report q january march friday april q april june friday july q july september friday october,0
1703,party also agree option allow uh extensively implement later also functionality human resource management,1
1704,london afx intertek group plc testing inspection company say commercial electrical division buy finland base company natlab oy etteplan oyj mln eur cash,0
1706,nordea see return positive growth baltic country,1
1707,negotiation concern plant department producing wind roving employ people,0
1708,poyry plc additional information martin kuzaj president industry business group finland tel sanna paivaniemi director investor relations poyry plc finland tel poyry global consulting engineering company dedicate balanced sustainability,0
1709,er lol look correlation aria foreign price chart poise breakout,1
1711,part new strategy finnish biohit plan incorporate diagnostic business separate limited company,0
1712,virala oy ab allocate board director amount eur million eur million low maximum announce,0
1713,juha jordan chief engineer glaston say one reason choose vacon global ac drive supplier service support centre country glaston operate,1
1714,another firm air liquide exempt leave market,0
1716,reorganisation carry transfer hkscan corporation production relate property plant equipment finland well holding subsidiary associate hkscan finland oy hold company wholly hkscan corporation,0
1718,helsinki afx cargotec say buy pct stake indital construction machinery ltd bangalore base company make fork lift truck mobile crane undisclosed sum,0
1719,finnish silicon wafer technology company okmetic oyj omx helsinki okm v report thursday october operate profit eur january september eur corresponding period,1
1720,dcth near hod,1
1721,cs cabot main consumer czech slovak market tire producer barum continental matador continental,0
1722,ale new macd signal create ctxs buy time strength power,1
1723,cameco typically price sale contract use ratio fix price spot price,0
1724,total service concept also include technology service raute support customer throughout entire life cycle investment,0
1725,russia want utilise huge forest reserve different way far,0
1726,base calendar year combine company eur bn pro forma annual revenue expect start operation employee,0
1729,aapl break descend channel hold,0
1730,acquisition expect improve access chrome ore resource turkey,1
1731,investment place atria plan expand moscow market,0
1732,respondent praise finnair reliability finnishness understanding target group,1
1733,satama earn datum management solution competency business intelligence specialization recentlyvia acquisition fimentor oy,1
1734,aim ensure vacon good shape capital expenditure start pick comment vacon plc president ceo vesa laisi,1
1735,objective trading share commence may,0
1736,tsla x recall big deal problem excuse guide way way low,0
1737,aspocomp say spin chinese indian unit equipment salo plant finland newly form unit sell hong kong list meadville,0
1738,first nine month talvivaara net loss narrow eur million eur million period,1
1739,subscribe magazine,0
1740,janis arbidans ceo yit celtnieciba say company focus housing real estate development market,0
1741,decide auditor reimburse accord invoice,0
1742,kalmar espana generate net sale mln euro mln,0
1743,alexandria va oct aaron moss hampshire great britain develop ornamental design handset u patent trademark office announce,0
1744,vwap hold trend line lot radar navb,1
1745,arm holdings plc partner international business machine corp drive,1
1746,finnish law parliament grant licence build nuclear power plant,0
1748,enp newswire march release date total talvivaara mining company plc new share subscribe period january february company stock option right,0
1749,cdti bounce support h setup area important bull lose,1
1750,ssh establish new global sale marketing group lead george adams adams establish global sale marketing group drive worldwide program support ssh tectia enterprise security solution,0
1751,business divest offer dairy edible fat ready meal ice cream packaging multinational local customer,0
1752,scope project find cost efficient method phosphorous removal deliver store dosing equipment use continuous operation plant,0
1753,microsoft last week also issue first patch window operating system beta release day early,0
1754,block lamp harri koskinen light introduce bestseller ever since,1
1755,original patent file finland application,0
1756,compare ftse index fall point day relative price change,0
1757,ruukki delivery include steel structure include installation krakeroy bascule bridge steel pile bridge foundation,0
1758,forestry also higher drive yesterday bullish analyst comment stora enso dagens industri dealer say,1
1759,january finnish medium company alma medium corporation hel aln v say today online recruitment service monster oy partner local newspaper publisher suoman lehtiyhtyma list job advertisement,0
1760,tesla motors recall model x suvs tsla,-1
1761,interim report first quarter publish may,0
1764,group net sale eur,0
1765,unit client mainly field specialist convenience good well textile shoe furniture business,0
1766,mr mcdonald start evening set feature hit solo career doobie brother year selection r b cover song meet mixed result,0
1767,sarantel base wellingborough uk design high performance antenna portable wireless device,0
1768,philippines san miguel say partner kirin bid sabmiller,1
1771,agn pypl pressure along market however bullish option trade morning,0
1773,helsinki afx cramo say agree sell cramo nederland bv cnl dutch machinery equipment rental unit jaston groep undisclosed sum,0
1774,stock rise second day wednesday bring two day rise gbx,1
1776,port facility throughput teus mln ton general cargo,0
1777,investment disclose,0
1778,operate profit exclude non recur item increase eur mn eur mn corresponding period,1
1779,end march company loan amount eur mn,0
1781,market making accordance agreement begin september,0
1782,fb pop hod,1
1783,I pleased proud performance last year chief executive juha rantanen say statement,1
1784,order include steel frame load bear roof structure partition wall element rautaruukki say expect complete installation early may next year,0
1785,share subscribe stock option register trade register january date new share establish shareholder right,0
1786,identity buyer yet know,0
1787,finnish bank land consolidated net operate profit increase eur mn first quarter eur mn first quarter,1
1788,nflx close look good bull hold position see close keep buy,1
1789,contract cramo sverige subcontractor brinkab ab provide scaffold installation lkab new pellet plant kiruna northern sweden,1
1790,copy republication redistribution afx news content inculde frame similar mean expressly prohibit without prior write consent afx news,0
1791,make wide range mobile device service software enable people experience music navigation video television imaging game business mobility,0
1792,easyjet expect resilient demand withstand security fear,1
1793,arna think buyout rumor strong enough drive yet may fly like aapl fly high,0
1794,slv awful,-1
1795,secondary antenna also use reception high power signal radar calibrate transmission channel radar,0
1796,broker start upm kymmene stora enso sappi equal weight recommendation holman norske skog underweight rating,0
1798,market almost completely control three bank nordea op bank group sampo,0
1800,eq bank forecast olvi net sale eur mn second quarter operating profit eur mn,0
1801,h kan dahlstr head mobility service teliasonera forecast mobile datum volume teliasonera network sweden rise eight fold tb,1
1803,bridge build south exist bridge span strait,0
1804,deal significant effect acquire company equity ratio,0
1805,risk exposure non life insurance move month expense function non life insurance exclude expense investment management expense service render non life insurance investment portfolio allocation,0
1806,company also feature ethibel pioneer investment register include innovest global list world sustainable corporation,1
1807,value multi year agreement eur mn year,0
1808,glencore cut budget plan divest lonmin,-1
1809,cash flow business operation total eur mn compare negative eur mn first half,1
1812,zurich insurance consider offer uk rival rsa insurance,1
1813,buy eukor car carrier percent stake grimaldi group sole owner swedish roll roll port wallhamn,0
1814,destia oy finnish infrastructure construction service company building maintain design traffic route industrial traffic environment also complete living environment,0
1815,alexandria va march pertti salmi hanna vuolteenaho oulu finland sami viitasaari ii finland develop ornamental design handset u patent trademark office announce,0
1816,also strengthen ruukki offshore business,1
1817,handset maker disclose financial detail,0
1818,plant expect start production first half,0
1819,restructuring create efficient organization increase operational focus stable profitability lead efficient production say bo annvik head specialty stainless,1
1820,electricity requirement network grow new mobile generation,0
1821,order intake hand expect strong,1
1823,chs expo freight major finnish fair exhibition culture logistic company provide logistic service various event land air sea,0
1824,change regard virala oy ab ownership share tiimari take place,0
1826,operate profit total eur mn eur mn represent net sale,1
1828,long gpro brealout trade,1
1829,term condition stock option scheme available group website,0
1830,net sale grow period x ac million us million x ac million,1
1832,trade name velta uk former uponor brand company uponor long term partner supply velta brand system particularly commercial industrial building sector uk internationally,0
1834,electronic version require hour copy customize client digital control custom watermark,0
1835,contract cover supply temporary heating equipment lkab new pellet plant kiruna northern sweden,0
1836,latin america currently account approximately sale finnish bss oss vas supplier telecom operator tecnotree company president ceo eero mertano tell bnamerica,0
1838,cash flow operation total eur mn compare negative eur mn second quarter,1
1839,present position director stockmann international department store,0
1841,finnish rautaruukki sell precision tube automotive component processing unit carl froh germany german arque industry,0
1842,forest certification voluntary system aim promote sustainable forest management commercial forest,0
1843,product low salt fat content,0
1844,update sabmiller reject ab inbev bln takeover approach,1
1845,poyry plccompany announcement december p pursuant poyry plc stock option program new share company subscribe since october stock option b,0
1846,new unit become one large one within company,0
1849,kndi maker china car sale also may feed tsla momentum run lately,1
1850,accord bosse present cooperation beneficial party however,1
1851,cash flow operation rise eur mn eur mn,1
1852,fiskar brand report net sale eur mn eur mn,1
1853,annual report contain financial statement consolidated financial statement report board director auditor report,0
1854,cargotec also move hallberg ivarsson service installation business roof service center kalmar macgregor solution gothenburg,0
1855,company board director would propose dividend eur per share,0
1857,new deal strengthen partnership telemig celular tecnoman start since beginning telemig prepay operation,1
1858,tesco lead leap ftse mark spencer drop,1
1861,company design manufacture market advance composite product industrial application consumer good cross country alpine nordic walking pole floorball stick antenna radome,0
1862,unilever turun sinappi make sweden hold market,0
1863,thus group balance sheet eur goodwill company add,0
1866,financing project come mainly china,0
1867,purchase operation part yit strategy expand offering build system service geographically,1
1868,finnish government announce wednesday sell percent stake chemical fertilizer group kemira oyj x ac million us million send company share price percent,1
1870,upm kymmene generate seventeen consecutive quarter positive cash flow operation,1
1872,capman say deal effect cash flow total eur transaction would affect financial result execute fair value,0
1873,vianor sell tire car truck well range car part provide maintenance service,0
1874,patrick jeambar also continue responsible innovation health safety environment hsea function ahlstrom corporation,0
1875,found strand associate provide civil environmental transportation electrical mechanical engineering service employee office wisconsin alabama illinois indiana kentucky ohio,0
1876,royal mail share price rally amid positive broker comment,1
1877,share standard chartered stan rise ftse royal bank scotland rbs share rise barclay share barc bcs,1
1878,purpose possible acquisition pkc would establish subsidiary poland,0
1879,main business area glass machinery group glaston technology global market leader glass processing machine,1
1881,lithuanian beer maker sell million liter beer rise per cent year early figure million liter,1
1882,negotiation carry constructive manner party try find solution situation,1
1883,result company currently anticipate net sale increase operate result positive,1
1885,company model base developer contract construction project customer focus project management,0
1890,price talk mid market swap plus bps area lead barclay bnpp ub cba,0
1891,speak drink today spokesperson olvi say perform well four country operate namely finland estonia latvia lithuania,1
1892,plan set class business center two top storey complex,0
1893,cnp sell short position cnp close profit,1
1894,comment time embrace dividend growth abbv csco wyn,1
1895,caixabank santo agree plan bpi angola exposure,1
1896,affecto provide new efi datum warehouse report solution behavioural scoring system support operational decision process datum migration old legacy system new efi system,0
1897,need malware removal tool type url vendor choice directly browser bar use link website write trend micro rik ferguson monday,0
1899,increase number share base option right grant management company stock option plan,0
1900,share subscription period c option commence september expire march,0
1901,device also use theft protection positioning vehicle boat asset,0
1903,fastjet slam easyjet founder stelio go public take legal advice letter contractual,-1
1904,total operating revenue grow year year eur,1
1905,companiesactelion share hit record shire takeover talk,1
1906,due rapid expansion market share tallink term passenger carriage tallinna sadam port tallinn total percent november percent november,1
1907,base strong customer interest feedback use rpm mobile phone manufacturer operator enterprise developer forum significantly increase product service quality user experience cost efficiency tulonen continue,1
1908,cramo plc service company specialise construction machinery equipment rental rental relate service well rental sale modular space,0
1910,thus group balance sheet eur goodwill company add,0
1912,among scandinavian company present st petersburg also name swedish concern ncc implement project field asphalt production road housing construction project swedish krona,0
1913,amzn long earning look good,1
1915,update pricey beer lift sabmiller quarterly underlying sale,1
1917,ruling set low limit potential fine bp,-1
1918,major order india comptel corporation receive significant long term order mediation provision solution use lead operator india,1
1919,citrix systems inc ctxs position increase mizuho,1
1923,local government commissioner l kurt svensson say contact management finnish company componenta find alternative company decision close plant l,0
1924,result share issue number company share increase share share capital total eur,0
1925,capman six investment area capman buyout capman technology capman life science capman russia capman public market capman real estate dedicated team fund,0
1926,combine net sale million ebitda million,0
1928,key geographical market europe russian federation middle east south africa japan,0
1930,finnish diversified hold company aspo oyj say september sell finnish tape business kaukomarkkinat unit local oy telpak ab,0
1931,phew far good bbry break coz I tell key support level,1
1933,tsla stock gain steam plus notable move week,1
1934,value order usd mn,0
1935,combine renew content functionality current system funding online service well maintenance,1
1936,thank wide contact network good knowledge market business environment give great contribution development indian operation tell incap president ceo juhani hanninen,1
1937,restructure measure affect production packaging printing material,0
1938,serial bond part plan refinance short term credit facility,0
1940,lead private road ambulance service company finland,1
1941,idcc share total value company crunch g technology diamond rough,1
1942,operating loss land eur include one eur exclude one,0
1943,wft closng higher,1
1944,sale price sale gain mln euro mln recognize incap earning,1
1946,mr lee say hope neste move pave way collaboration project two country,1
1947,sanoma corporation want new well frequency helsinki metropolitan area,0
1948,aim understand different traffic pattern base use building,0
1949,newly create position establish strengthen amer sport management strategic planning execution,1
1951,atvi ook pretty bullish short term perspective get good chance maybe slide back,1
1952,operating profit grain trading increase eur mn eur mn,1
1954,koduextra operate retail chain store control finnish non food center ky rukax oy scan tukka oy,0
1955,uranium find locally naturally occur make sense extract way metal,0
1956,party agree disclose transaction value,0
1957,elcoteq electronics manufacturing service ems business segment serve customer globally engineering manufacturing fulfillment service,0
1958,hpq say breakup cost billion see saving,-1
1959,enter long lockheed martin lmt thursday open,1
1960,sds pick speed may call next week call c,1
1961,business idea budget sport offer customer wide range high quality sport equipment clothing low price company say,0
1962,joint venture plan quick timetable negotiate lease potential wind farm area chart feasibility wind farm,0
1965,company share list mid cap segment nasdaq omx helsinki,0
1966,net income life insurance double eur mn eur mn net income non life insurance rise eur mn eur mn corresponding period,1
1967,tsla break thru dma upper head short squeeze progress nr term obj stop loss,1
1968,tsla dip testing day,1
1969,cablevision systems corp cvc madison square garden division operate new york knickerbocker basketball team also madison square garden arena new york ranger hockey team new york liberty woman basketball team hartford wolf pack hockey team,0
1970,production plant base neste oil proprietary technology use flexible input vegetable oil animal fat,0
1971,part eserie business promise nokia e equip variety email solution small stylised package say dave grannan general manager enterprise solution nokia,0
1972,ilmn piper jeffrie raise pt I remain long,1
1973,siri long,1
1974,e commerce site flagship manage marimekko north america retail llc subsidiary establish u last year,0
1975,boomerang boat net sale eur mn make operate profit eur mn,0
1976,shipyard hope regional government andalusia offer form financial support,0
1977,cent profile contain business operation company history major product service prospect key competitor structure key employee location subsidiary,0
1978,skh long setup watch continuation volume expansion hot sector,1
1979,follow demerger vice president group pharmaceutical trade finland jukka niemi appoint manage director oriola addition current responsibility,0
1980,delivery expect take place later month,0
1981,incap corporation stock exchange announcement april p invitation news conference incap interim repo q incap publish interim report january march wednesday may,0
1982,two site include later,0
1983,spring total stock option b annul,0
1984,launch plant june go well produce advanced fuel couple week,1
1985,time I think aapl miss generally speak market near top everyone think market go,-1
1986,nyse owner ice consider offer lse,1
1989,necessary strengthen company operation however,0
1990,le lie succeed walter g nter base finland,0
1991,espn file lawsuit verizon vz,-1
1993,bavaria industriekapital ag revenue eur million ebitda eur million,0
1994,price specify completion date,0
1995,ethanol would make barley production could start,0
1997,expansion aim attract new customer finland abroad,1
1998,order consist capacity expansion maintenance service new charging functionality company say,0
1999,layoff talk first announce august,0
2000,vxx start creep spy sit near hod,1
2001,lift veil various type customer design phone result social stereotyping take fine art,0
2002,implement software finnish army aim unify improve operation application area qpr software state,1
2003,year personal entertainment play significant role determine whether fitness facility workout experience pleasurable chore say brian wilson director marketing precor entertainment service division,0
2004,wac trade continue nicely yesterday almost yesterday entry deal pricing tonight look strong spy,1
2005,finland base company l nnen tehtaat raisio decide dissolve joint venture company zao scandic feed establish start local animal feed business feed production northwest russia,0
2006,april finnish machinery rental company ramirent oyj hel rmr v say today acquire asset sector player stavebni doprava mechanizace sdm czech republic undisclosed sum,0
2007,accord capman plc corporate governance majority committee member shall independent company,0
2009,bac adsk nflx long morning,1
2010,financial statement include consolidated financial statement group board director report auditor report corporate governance statement,0
2011,company involve sale financial product include insurance mortgage car personal loan financial brokerage equipment finance lease,0
2012,broker initiate palfinger ag konecranes oyj buy recommendation eur price target respectively,1
2013,important export market norway germany russia france,0
2014,january september operating profit total eur mn,0
2015,previously eb deliver custom solution lg electronic make commercially available mobile terminal vendor well wireless operator,1
2016,tekla group net sale approximately million euro,0
2017,time market automate liquid handling device already large pipette accord biohit,0
2018,okmetic revise financial outlook base order book,0
2019,bond maturity five year part bank domestic bond program,0
2021,online ice chart show ice area estonia sea port coast gulf finland,0
2022,money spend strengthen company competitiveness sphere sawmill product increase volume wood deliver processing russia release say,1
2023,liquid handling segment offer laboratory equipment accessory include mechanical electronic pipette disposable tip use research institution university hospital well pharmaceutical food industry biohit brand,0
2024,delighted welcome elisa board director say garry mcguire ceo rmg network,1
2025,ab inbev offer sabmiller billion breakup fee,1
2026,synergy benefit start materialise second quarter,1
2027,pioneer library system one library municipality art culture high education science organization award grant participate big read large federal reading program u history,1
2028,conagra name former hillshire farm ceo connolly top post,1
2029,finnish department store group stockmann plan acquire eur mn direct issue right offer,0
2030,city invite however public procurement tender tailor make public furniture park bench litter receptacle public toilet well bus shelter street light,0
2031,decision resolve meego strong continue,1
2032,accord olvi company already negotiate new agreement,0
2033,provide summary medical equipment pipeline product company develop,0
2036,section regional news demand finnair asian traffic measure passenger kilometer august compare last year,1
2038,salcomp charger manufacturing plant india locate nokia telecom park state tamil nadu eastern part india,0
2039,board director propose dividend eur per share eur per share pay,1
2041,program start summer originally estimate last approximately two year,0
2042,company record revenue e million fiscal year end december increase,1
2043,aapl rally mode,1
2044,exact exas flag strong high volume exas,1
2045,mt amazing see everyone suddenly tout msft long favorite cover call double dip dividend play,1
2046,fl group private equity division manage operating company include icelandair group fl travel group bluebird sterling,0
2048,move aim boost sale cost efficiency market share finland,1
2049,company still expect turnover slightly increase level add market predictability still poor trustworthy forecast market development contract manufacturing business current year,1
2051,correspond percent okmetic share capital voting right,0
2052,total restructuring cost expect eur mn eur mn book december,0
2053,january september group net interest income increase eur mn eur mn january september,1
2054,rost nov call go long exp imo unless european keep f ing around,1
2055,much biomass use source locally rest plant fuel need meet peat,0
2056,aapl take short punish reminder spear strong herd,1
2058,resident access block plan aleksandri street,0
2059,capman first real estate fund total investment capacity euro million close june invest commercial property helsinki metropolitan area,0
2060,intent article focus attention fact development model china follow different model india follow,0
2061,financial impact estimate annual improvement eur division result fiscal year,1
2062,tank deliver company currently build chemical tank farm antwerp northern belgium,0
2063,value deal disclose,0
2064,q consolidated earning tax total eur compare eur net profit eur compare eur previous year,1
2065,machine annual production capacity tonne super calender magazine paper paper grade base recover fiber stora enso say,0
2066,wgo bod right reject offer company low economy type mismanagement anything,0
2067,risto jalo chief executive dormus print also owner remainder company keep position acquisition,0
2068,company turnover amount meur,0
2071,lay implement use part time employment contract,0
2072,capman office helsinki stockholm copenhagen oslo manage nordic buyout mezzanine technology life science real estate fund approximately eur bn total capital,0
2074,demand seem hit bottom sign improvement see,1
2075,apple expect launch new iphone ipad today aapl,1
2076,wayne greensmith fiskar brand uk senior brand manager say launch want give something back community,0
2077,uncertainty still exist however,0
2079,currently alfre palmberg put finish touch one finland big ever plumbing bathroom refurbishment project also district vuosaari,0
2081,company export twenty european country well africa,0
2082,analyze kaupthe bank sweden find business fit well alandsbanken say alandsbanken chief executive peter wiklof statement,1
2083,launch new g handsets nokia aim become winner china g market g market,1
2084,sanoma also executive committee accordance company article association prepare proposal matter decide note board director,0
2085,deal mean ten person three country transfer tieto,0
2086,vaisala present weather detector measure visibility km well precipitation type intensity,0
2088,omx market forward mature may novator finland oy direct shareholding amer sport corporation exceed one fifth company share voting right,0
2089,report contain category level company brand share well distribution share information,0
2090,china unicom nyse chu hkse shse second large mobile carrier country,0
2091,intertek swing mln loss oil slump,-1
2093,company deliver technical infrastructure use nav datum warehouse business intelligence initiative,0
2094,nonwoven specialty paper make ahlstrom use large variety everyday product e g filter wipe floor label tape,0
2095,outotec say win new order worth mln eur quarter compare mln eur year early,1
2096,yit kausta build commercial residential highrise virsuliske area,0
2097,addition supply new headbox modern sizing coating unit vaahto group provide erection supervision training start service,0
2099,gs look weak market move high good sign unless gs get early short today,-1
2101,sanoma announce stock option scheme december,0
2102,philip morris bat sue law take brand pack,-1
2103,seat would go edgar edmond american experience clothing retail industry christian fischer austrian experience winter sport good business,0
2104,ruukki announce sign agreement aker solution norway supply suction anchor september kalajoki unit finland,1
2105,finnish financial software developer basware oyj say today provide invoice automation ia solution unnamed major retail company usa deal worth eur,1
2106,barclay poach new chief operating officer paul compton jp morgan chase,0
2108,share subscription period stock option april march,0
2109,company process build new fleet place order p max tanker dwt,1
2111,glaxo viiv healthcare sign china manufacturing deal desano,1
2112,ground barleycorn fully produce finland available store beginning,0
2113,fb bot breakout consolidation zone,1
2114,saudi aramco shell plan break motiva divide asset,-1
2115,ino away,1
2117,finnish industrial group ruukki group plc omx helsinki rug v say friday november furniture business segment incap furniture conclude personnel negotiation start end september,0
2118,right margin view separately detail every customer,0
2119,group order book eur mn end,0
2121,priceline stock jump new high year barclay upgrade,1
2122,transaction take place without payment merger consideration,0
2123,arm royalty accelerate smartphone market regain strength,1
2124,company expect net sale significantly increase,1
2125,option might include partial total divestment shareholding ovako,0
2126,espoon kaupunki award contract personal care product,1
2127,term condition year stock option scheme publish stock exchange release march,0
2128,bxs bancorpsouth announce extension merger agreement,1
2129,nordic business repo june metso corporation win eur equipment order australia communications ltd finnish engineering technology group metso corporation say monday june receive eur equipment order australia,1
2130,accord report neomarkka kuitu finland customer interested buy company product restart production,1
2131,spy bump head decline daily overhead resistance big brother,-1
2132,acquisition teliasonera would france telecom big since purchase orange plc billion billion would create world fourth large telecom company behind inc verizon communications inc ntt corp japan,0
2134,solteq plc announcement share repurchase helsinki stock exchange solteq plc hold total share include share repurchase,0
2137,met locate central business district cbd bangkok,0
2139,follow last year good profit development enter current year good position,1
2140,kemira r organization comprise approximately people company say,0
2141,company board director propose dividend eur per share annual general meeting schedule hold march,0
2142,I extremely delighted project continuation cooperation vike line,1
2143,unit price straddle carrier vary eur eur company add,0
2144,bristol port company seal one million pound contract cooper specialise handle supply four tonne customise reach stacker konecrane,1
2145,welcome,0
2146,tecnoman system feature new range value add service prepaid post pay billing charging rating voice call data traffic kind content service mobile fix network,0
2147,market share volkswagen passenger car finland percent audi market share percent seat share percent,0
2148,proposal board director issuance option right otherwise correspond proposal board director notice general meeting,0
2149,upm kymmene generate four consecutive quarter positive free cash flow,1
2150,export account one tenth company annual turnover one billion kroon,0
2152,company net sale acquire finland european country asia us,0
2154,net interest income total eur mn compare eur mn year early,1
2155,financial detail reveal,0
2156,accord rehu manage director jouko lahtinen project stabilise cost improve supply security,1
2157,letter economic affair minister list estonian shipping company tallink ask approval entitle cut port fee,0
2160,building house product development test laboratory,0
2162,however proportion pay standing order grow,1
2163,room modify share component already indicate,0
2164,facility lettable area sq plot plant locate ratasmaki business park purchase city forssa,0
2165,user engagement fall fb,-1
2167,create interface similar interaction real world enable experience natural intuitive way modern game movie immersive use realistic graphic,0
2168,addition cramo peab sign exclusive five year rental agreement finland extend exist rental agreement swedish market another five year,1
2169,sale rise mln eur compare last year mln eur line mln eur consensus figure,1
2170,sanoma magazine expect net sale level,0
2171,fb dax say bye bye finish great yr w plus,1
2172,acquire rcp combine strong knowhow expertise solid local company,1
2173,profit period eur mn compare eur mn,1
2174,price give transaction merge two london company work together number project include delivery timetable britain national express east coast rail network,0
2175,gtat enter short bounce,-1
2176,kai tulonen chief technology officer sysopen digia say mobility business suite represent significant milestone company offering telecommunications industry,1
2177,finnish elevator escalator maker kone corporation say tuesday march receive major order sir robert mcalpine supply elevator escalator watermark place project city london,1
2179,neither company use genetically engineer soy moment,0
2180,kirsi rantanen previously development director hk ruokatalo poultry business,0
2181,company expect meat purchase remain mn kilos,0
2182,luxembourg register investment fund amber trust ii win final approval lithuania competition council acquire percent sanita country large pharmaceutical producer,1
2183,crown castle buy tower development corp million,1
2184,tom doring long successful career drive business know american market,0
2185,european share plunge roil bhp oil hope turn ecb,-1
2187,rally authorize city administration consulate official come worker speak take letter,0
2188,sale latin america increase eur mn total mn mobile device sell area represent increase corresponding period,1
2189,employer employee talk concern people whole staff finland,0
2190,aapl weekly still move average create lower high,-1
2191,paper maker stora enso oyj say friday acquit charge participate paper price fix conspiracy united states,1
2192,commission applaud apply fact base datum drive approach provide clarity future petition,1
2194,company operating profit stood mln euro mln,0
2195,construction volume meanwhile grow rate percent annually,1
2196,situation normalise company able increase amount residential unit sale st petersburg moscow particular,1
2197,million tonne co eua eu allowance emission credit eu trade underlying market value approx,0
2198,price kroon par value bond kroon primary issue,0
2199,part agreement employee john deere forestry documentation function transfer dokumentori oy,0
2200,area also include central building honkarakenne start negotiation delivery,0
2201,contractor shopping center china state construction engineering corporation previously build e g airport hotel factory large international customer different part world,0
2202,I professional anal yst I put mouth aapl b yr end another hun long leap,1
2203,truck feature eco drive system fuel measure tool store datum particular individual driver,0
2204,panostaja oyj board also decide organisational meeting hold upon completion agm implement agm decision concern board member fee pay share way share transfer quarterly basis date follow publication quarterly annual report,0
2205,ctrp break resistance watch right gate tomorrow morning,1
2207,august sampo stake nordea,0
2208,new chain discount store supermarket,0
2211,biotie north american licensing partner somaxon pharmaceutical start phase ii iii clinical study patient suffer pathological gambling pilot phase ii study nicotine addiction smoking cessation,0
2212,cvs propose member available view march onwards internet www sampo com ir,0
2214,announce restructuring significantly decrease company indebtedness,1
2216,exel composite brief exel composite technology company design manufacture market composite profile tube industrial application,0
2217,platen edge contact band provide seal protrusion direct towards middle area platen mean provide exert maintain pressure volume define platen band seal,0
2218,point village design scott tallon walker include shopping center office premise hotel cinema,0
2219,tikkurila acquire majority stake kolorit paint autumn,0
2220,follow issue new share constitute percent firm capital,0
2221,hk ruokatalo produce many turkey product cold cut,0
2222,treatment product usa canada mexico australia brazil today global research datum service go publish several market analysis market water treatment product select country,0
2223,six agreement company first customer acquisition india since take tvs electronic contract manufacturing facility jun,0
2224,yit acquire investment right square metre residential project yaroslavl square metre project moscow,0
2225,dwa play today I still skeptical take profit time cheer,0
2227,finnish textile clothing company marimekko corporation omx helsinki mmo v report wednesday november operate profit eur net sale eur period january september,0
2228,amzn go thru roof need sell,1
2229,besides pit produkt enter new segment,0
2230,podcast see harple provide low gypsii platform take someone location demographic information produce contextual index world around,0
2231,huhtamaki oyj stock exchange release huhtamaki oyj resolve clarify group structure separate foodservice consumer good business production unit hameenlinna finland transfer business wholly subsidiary,0
2232,marimekko group net sale eur thousand eur thousand operating profit eur thousand eur thousand,0
2234,ahlstrom share quote nasdaq omx helsinki,0
2237,ab inbev sell sab asset seek eu deal approval,0
2238,okmetic close plant espoo early production line site move okmetic plant vantaa finland texas usa,0
2239,prepare breakout trade netflix nflx,1
2240,community gardening become popular activity especially raise vegetable,0
2241,martela front runner provide innovative solution customer service martela design supply interior solution working environment public space,0
2242,eln long congrat another hod,1
2243,upon establishment plan direct approximately person,0
2245,rfid radio frequency identification method call intelligent transport whereby information read save remotely,0
2246,estonia second large meat processing company market share accord ac nielsen data percent,0
2247,oil major like royal dutch shell chevron bp fail find reserve counter,-1
2250,plant fire combination spruce bark chip log residue mill peat,0
2251,january scandinavian lender sampo bank hel samas pohjola bank hel poh svenska handelsbanken sto shb provide eur usd line credit lemminkainen oyj hel lem finnish construction firm say friday,0
2253,earning per share eur,0
2255,company say estimate make slight profit thank cost cut measure,1
2256,glaxosmithkline set complete billion novartis asset swap next week,1
2257,svytury utenos alus control nordic group baltic beverage hold bbh post per cent growth beer sale january may million litre,1
2258,option right entitle holder subscribe one new share subscription price eur subscription period end december,0
2259,alma medium net sale total meur operate margin per cent,0
2261,eqt complete exit salcomp finnish company make mobile phone charger sell remain stake swedish investment group nordstjernan euro million million,0
2262,new company likely hold ipo nyse another international stock exchange accord altimo manage alfa group telecommunications asset teliasonera agreement publish website u security exchange commission,0
2263,outotec oyj press release february outotec win two large mineral processing technology order mirabela mineracao brasil ltda brazil cumerio med jsco bulgaria,1
2264,evidentiary hearing investigation schedule april may,0
2265,part reduction make retirement arrangement,0
2266,rio tinto ceo say iron ore market equilibrium,0
2267,company website www ahlstrom com,0
2268,acquisition basware preliminary pro forma net sale amount eur mn preliminary pro forma operating profit amount eur mn,0
2269,replay available october follow number caller non caller access code,0
2270,value three year contract estimate eur,0
2271,clne gasoline price spike california,1
2273,stena poseidon call panamax tanker design able pass narrow passage panama canal lock,0
2275,contract also include installation work new multistorey carpark close vehicle,0
2277,several growth initiative choose geographic area already ongoing continue note lindex open first store czech republic autumn brno,1
2278,deal include entire personnel planmill oy transfer new company call old employee,0
2280,besides depositor preference finland senior debt deposit rank par also take consideration agency add,0
2281,late result include per share charge cent stock compensation cent research development cent strategic investment,0
